Age,Education_Years,Tenure_Years,Years_Current_Role,Career_Experience,Base_Salary_Lakh,Benefits_Value_Lakh,Annual_Bonus_Lakh,Compensation_Band,Training_Hours,Job_Satisfaction,Manager_Support,Workload_Index,Absenteeism_Days,Projects_Completed,Remote_Work_Days,Department,Performance_Score
34,13,7.3677199247618175,3.77568495322224,11.002723314624308,8.527886332760055,1.4208565987056627,0.9540542514852502,4,52,4,4.133906903128698,55.83817956830615,3,5,3,Technology,100
48,17,4.124020316274498,2.0031731849878813,7.77190172138119,8.52435274729508,1.4247668055770455,0.843011896477027,4,16,2,4.179215546249758,38.63153520365606,5,7,2,Sales,87.96765672864052
37,19,3.989177534210139,1.6139146899413797,6.617150295356257,10.222033307895085,1.4744805030106003,1.3338624084049093,5,21,3,3.3992921479039135,70.36965254102601,2,2,3,HR,79.88414766409392
23,18,7.916942446852927,4.117530461562663,13.697430695847267,6.496763773982886,0.9433241596791551,0.6818916495475381,2,72,5,2.9936625344018677,67.07486444756127,0,9,2,Operations,99.99892838123156
30,17,2.920390711405911,1.2302675011436868,4.288969606186607,13.187857923544074,1.7949535820509774,1.1809899906109995,6,33,4,3.677807077769983,40.030029151543864,3,8,5,Finance,97.15604620501108
43,15,3.9585896221058587,2.415735466259081,9.019232611025272,13.787086064653275,1.2864469453435605,1.1833960222127555,5,37,2,3.910746693611803,67.16113483311234,3,5,3,Operations,94.63486846569224
40,15,4.0274189432370955,2.012013130801895,5.865176975168708,6.929011740943107,1.5946874934109436,1.0781908057124459,4,85,3,2.2093826219219754,56.344759366410784,2,6,3,Finance,100
25,16,3.891243536089884,2.208924225031175,6.664752844859987,13.574904606475748,1.9268061790971656,1.4289112330644458,6,29,3,3.4993673968695127,57.255793668706325,5,5,2,Finance,94.97586336187103
48,14,10.458275358459998,5.927433565015047,18.087957710877923,11.819827791880304,2.212605915208631,1.6772262885043643,5,52,3,2.9040393826488833,58.259479772233576,2,8,2,Technology,99.80689224203209
22,14,2.4709335955874554,1.7938362606058482,5.240627738697428,9.169068395956304,1.2240033572532194,1.1252059589095382,5,32,3,3.896851517564368,75.85928837967174,5,8,3,Technology,100
36,20,4.92185345780169,2.3787159751498828,9.9632819333067,12.588772167063944,1.8049691674391328,1.6894746648028731,6,38,2,3.2900975759167226,39.05033343353917,4,6,2,HR,99.00475155348155
22,14,3.066101800608233,2.0112389617810784,6.826262994542037,8.843765233112025,0.879336609319827,1.1928019452125882,4,12,4,4.589898931615214,67.98927318924711,4,3,5,Operations,83.38579558274799
42,17,7.238043116588606,3.9262355544979277,11.620616459412965,11.470124455565665,1.6236164976495686,1.3633251500352959,5,23,4,3.1817463591962527,82.01483113788989,6,4,3,Technology,98.37096473140234
30,16,4.916603466831298,2.0111170925087585,7.009892041297798,11.926604054511323,1.7564077109474612,1.5371317616879439,6,20,4,3.8972139382702564,64.19174423614282,3,7,3,Operations,94.4185768076216
44,15,16.51639978392656,7.271159275795434,23.969492175632205,15.370058198357247,2.038750903219099,1.8169662487566094,6,67,4,4.411031590951404,69.88544305755376,3,8,4,Finance,99.92895115333397
32,18,3.452613603194967,1.5996960941347824,5.780991162653687,12.058031099469895,1.5025542199628963,1.2894972131900488,5,21,5,3.2859652601445277,65.15911908385668,5,3,0,Sales,82.42142829334458
38,18,3.7436165499536,2.3269157907239033,5.84276568917769,14.679585820444064,2.501394011650849,1.972787915354057,6,20,2,3.7983640496023408,55.14907850507272,4,7,0,Marketing,99.73502974963532
39,18,6.313535395625014,3.20812137965206,10.594547694051855,11.008842976134463,1.3600080251515345,1.026853423238387,4,34,2,2.699807860195764,51.00652158167089,1,6,1,Sales,86.80520137086448
34,17,4.64570261644524,1.9473659043208826,7.335607335909394,14.566171420610619,1.6957364843075518,1.594232249409628,6,46,3,3.7865837306718477,67.71039393842456,4,9,5,Sales,98.8400366476458
35,17,4.23875392623642,3.0673108386909247,9.354767653438834,8.55157039239168,1.3608135660656429,1.337959722888265,4,28,3,3.4050463081434885,76.91688925464513,2,5,3,Sales,97.72981589836485
32,15,5.879367241695941,3.1088203854353846,10.238153580773684,7.659511193641173,1.275799181713888,1.0258184186773445,3,40,4,3.710401131684276,26.12278275492124,2,6,3,Sales,100
35,15,6.480356974221742,2.6182915224545447,9.793304267732927,6.22616041431643,1.1839652627209543,0.8024353114164267,4,24,5,3.4670477161067947,65.41538211756844,6,5,3,Sales,99.82754893312065
37,13,5.704907072572502,2.5857804273931895,8.338882739146694,5.193678088040184,0.832974546268543,0.6451364544986288,2,41,3,4.384749370419683,72.32550979576072,4,10,1,Marketing,99.99566278049575
27,17,7.033859623730451,3.4899251159091293,11.981852174884917,10.636967919795389,1.6630579277715432,1.5447787860875166,5,29,5,3.9113169054098735,58.955184937234165,2,5,1,Sales,99.99073135747892
36,20,8.4688273185387,3.6878625933114093,11.618633338805088,8.087252718968957,1.653154789455434,1.302333557131978,4,65,3,2.8026645188821813,41.29079844668615,3,9,2,Technology,100
32,18,4.390319985924939,2.6060043629597875,5.53430411628104,7.980616528242885,1.0935681541061315,0.6943696083025385,3,45,1,2.3812119103440317,46.29056435908703,3,6,4,Operations,98.09669064173866
28,14,4.343110105050745,2.198207912206071,7.319900444628373,10.373375630233877,1.4804589612213694,1.1564015299212083,4,63,3,3.633893600916438,66.84929551624494,2,8,4,Operations,99.87697992018145
23,16,5.6235157869068395,3.7242519432928978,8.942043262102125,17.75891528841036,2.2519981240618185,2.303014924756436,6,5,5,3.6883924529610193,68.22722570014541,6,5,0,Technology,90.33958196316775
35,17,5.763334112759945,2.1959302769264326,8.730989545169212,5.872934075766038,0.9409658139037065,0.8290786962041834,4,60,4,3.696068970882387,61.549781738472824,2,6,4,Sales,100
28,15,4.53737016691435,2.86534334850421,8.621071293837241,9.976686775883119,1.6871345587615005,1.6967354366596243,6,67,4,2.6040665686622027,72.54200777960192,6,9,2,Operations,100
44,13,5.617165544905467,3.1032190826178567,10.990771673701909,8.809485635788466,1.522426320715465,0.9969877345565333,4,20,4,3.8958564439829146,59.668314239136414,6,6,3,Marketing,80.03638188893967
