Age,Education_Years,Tenure_Years,Years_Current_Role,Career_Experience,Base_Salary_Lakh,Benefits_Value_Lakh,Annual_Bonus_Lakh,Compensation_Band,Training_Hours,Job_Satisfaction,Manager_Support,Workload_Index,Absenteeism_Days,Projects_Completed,Remote_Work_Days,Department,Performance_Score
23,19,4.006036333926997,1.8085828051523938,7.415274055964041,12.355715630945385,1.6608549379816364,1.7424559319014576,6,29,4,3.7151700821945473,53.38731196155127,6,8,3,Marketing,94.37298909842107
37,13,5.805294517311624,2.586858917987001,8.406004019834594,5.312397302079883,0.8135890900251909,0.6359106250543323,2,41,3,4.390809876876008,72.57108536887661,4,10,1,Marketing,100
41,18,4.614849936573824,2.496073625291084,6.3893193791833625,11.081263094201347,2.0127690455760643,1.6162306149760153,6,17,4,2.9936374028819817,65.43965350391235,7,8,3,Sales,98.8778795825695
34,17,6.060446879057018,3.1882827408033503,11.071133869657872,10.073922342659689,1.7618085864005408,1.567413470896563,5,51,2,4.005468133667337,60.87992830640685,2,7,2,Technology,100
35,12,9.817402825341969,4.985186074334857,17.66543253281823,10.645725735434072,1.4560680495167189,1.2912447592832426,6,35,5,3.6758030263122152,66.74713004396959,4,9,0,Sales,100
29,14,4.570987218840857,1.7966535274360869,6.156127196180138,12.149018686444363,1.8787686125802665,1.421481661797034,6,40,2,3.7951056155016705,53.915184413216615,3,5,1,Operations,100
34,18,5.3551949406490555,3.6095212539404207,7.4249686974857125,11.079827726958646,2.0095417438215493,1.589277815479785,6,32,3,3.4708185975270114,75.30745982145926,1,6,0,Technology,100
45,17,6.3780828921037145,2.545830510510795,10.124129665808386,7.772840874321672,1.1819903150708797,0.8304742515393323,4,28,3,4.0578847681926975,93.37808147939194,5,6,2,Marketing,96.9468845934711
48,15,9.328361104874633,4.988903811195374,9.627748265612503,16.466682080290827,2.3170804950557415,1.7044889826394558,7,17,3,2.2093395389750947,68.7143095585965,4,5,2,Operations,100
40,15,1.6176170177725413,0.9855998791277109,3.1901960235632525,12.733450275884183,1.7403250332611626,1.7149695087821795,7,30,3,2.4213599008925546,52.47581687777035,5,6,2,Sales,94.07026963372898
35,17,3.8605473778410255,2.574927051658751,4.830766947937794,9.857818210436903,1.3215215461026073,1.0759517210276708,4,58,4,4.522497363453174,31.754341562119496,7,6,2,Marketing,99.91506961514773
